iter	Passed	Remaining
415	2885	4050
416	2891	4042
417	2897	4034
418	2903	4026
419	2909	4018
420	2916	4011
421	2923	4004
422	2930	3998
423	2937	3990
424	2943	3982
425	2950	3975
426	2957	3968
427	2963	3960
428	2970	3953
429	2976	3945
430	2983	3938
431	2990	3931
432	2997	3925
433	3004	3918
434	3013	3914
435	3020	3907
436	3027	3900
437	3034	3893
438	3040	3886
439	3047	3879
440	3054	3872
441	3061	3865
442	3068	3857
443	3073	3849
444	3080	3841
445	3087	3834
446	3094	3828
447	3100	3820
448	3107	3813
449	3114	3806
450	3120	3798
451	3127	3791
452	3134	3784
453	3141	3777
454	3147	3770
455	3154	3763
456	3160	3755
457	3166	3747
458	3173	3740
459	3180	3733
460	3186	3725
461	3193	3719
462	3199	3710
463	3206	3703
464	3212	3696
465	3218	3688
466	3225	3681
467	3231	3673
468	3238	3666
469	3245	3659
470	3251	3651
471	3258	3644
472	3264	3637
473	3271	3630
474	3277	3622
475	3283	3615
476	3290	3608
477	3297	3600
478	3303	3593
479	3309	3585
480	3315	3577
481	3325	3574
482	3347	3582
483	3359	3581
484	3365	3574
485	3372	3566
486	3379	3559
487	3385	3552
488	3392	3545
489	3398	3537
490	3406	3531
491	3413	3524
492	3420	3517
493	3427	3510
494	3433	3502
495	3440	3495
496	3446	3487
497	3453	3481
498	3460	3474
499	3467	3467
500	3473	3460
501	3479	3452
502	3486	3445
503	3492	3437
504	3499	3430
505	3507	3424
506	3513	3416
507	3521	3410
508	3527	3402
509	3534	3396
510	3541	3388
511	3547	3381
512	3555	3374
513	3561	3367
514	3568	3360
515	3575	3353
516	3584	3348
517	3591	3341
518	3600	3336
519	3607	3329
520	3613	3322
521	3621	3316
522	3626	3307
523	3632	3300
524	3639	3293
525	3645	3285
526	3652	3277
527	3657	3270
528	3663	3262
529	3670	3255
530	3676	3247
531	3683	3240
532	3690	3233
533	3696	3225
534	3703	3218
535	3709	3211
536	3715	3203
537	3721	3196
538	3727	3188
539	3733	3180
540	3739	3172
541	3745	3164
542	3751	3157
543	3756	3149
544	3762	3141
545	3768	3133
546	3774	3126
547	3780	3118
548	3787	3111
549	3793	3104
550	3800	3096
551	3805	3088
552	3812	3081
553	3818	3074
554	3825	3067
555	3831	3059
556	3837	3052
557	3843	3044
558	3850	3037
559	3855	3029
560	3861	3022
561	3868	3014
562	3874	3007
563	3880	2999
564	3887	2992
565	3893	2985
566	3900	2979
567	3907	2971
568	3913	2964
569	3920	2957
570	3926	2950
571	3933	2943
572	3939	2935
573	3945	2928
574	3952	2921
575	3958	2913
576	3964	2906
577	3970	2899
578	3977	2892
579	3984	2884
580	3989	2877
581	3996	2870
582	4001	2862
583	4007	2855
584	4014	2847
585	4020	2840
586	4027	2833
587	4032	2825
588	4038	2818
589	4044	2810
590	4050	2803
591	4056	2795
592	4062	2788
593	4069	2781
594	4075	2773
595	4082	2767
596	4088	2759
597	4094	2752
598	4101	2745
599	4106	2737
600	4112	2730
601	4118	2722
602	4124	2715
603	4130	2708
604	4137	2701
605	4143	2693
606	4149	2686
607	4155	2679
608	4163	2673
609	4172	2667
610	4179	2660
611	4187	2654
612	4194	2648
613	4201	2641
614	4208	2634
615	4216	2628
616	4226	2623
617	4234	2617
618	4242	2611
619	4250	2604
620	4256	2598
621	4265	2592
622	4274	2586
623	4282	2580
624	4289	2573
625	4297	2567
626	4303	2560
627	4310	2553
628	4316	2545
629	4322	2538
630	4328	2531
631	4335	2524
632	4341	2517
633	4349	2510
634	4355	2503
635	4361	2496
636	4367	2489
637	4375	2482
638	4382	2475
639	4388	2468
640	4395	2461
641	4401	2454
642	4408	2447
643	4414	2440
644	4420	2433
645	4427	2425
646	4434	2419
647	4440	2412
648	4446	2404
649	4452	2397
650	4459	2390
651	4465	2383
652	4471	2376
653	4478	2369
654	4484	2361
655	4490	2354
656	4498	2348
657	4505	2341
658	4512	2334
659	4518	2327
660	4525	2320
661	4531	2313
662	4537	2306
663	4544	2299
664	4551	2292
665	4558	2286
666	4565	2279
667	4571	2272
668	4578	2265
669	4584	2258
670	4591	2251
671	4598	2244
672	4605	2237
673	4611	2230
674	4617	2223
675	4624	2216
676	4631	2209
677	4638	2202
678	4645	2195
679	4651	2188
680	4657	2181
681	4663	2174
682	4669	2167
683	4676	2160
684	4681	2153
685	4688	2146
686	4694	2139
687	4700	2131
688	4707	2124
689	4713	2117
690	4719	2110
691	4725	2103
692	4732	2096
693	4738	2089
694	4744	2082
695	4750	2074
696	4757	2068
697	4763	2060
698	4770	2054
699	4776	2046
700	4781	2039
701	4788	2032
702	4794	2025
703	4800	2018
704	4806	2011
705	4813	2004
706	4820	1997
707	4827	1990
708	4834	1984
709	4840	1977
710	4846	1970
711	4853	1963
712	4859	1956
713	4865	1948
714	4871	1941
715	4878	1934
716	4883	1927
717	4890	1920
718	4896	1913
719	4902	1906
720	4909	1899
721	4915	1892
722	4921	1885
723	4927	1878
724	4933	1871
725	4939	1864
726	4946	1857
727	4952	1850
728	4957	1843
729	4964	1836
730	4970	1829
731	4976	1821
732	4982	1814
733	4987	1807
734	4993	1800
735	4999	1793
736	5004	1786
737	5010	1778
738	5017	1771
739	5023	1764
740	5029	1757
741	5035	1750
742	5040	1743
743	5046	1736
744	5053	1729
745	5059	1722
746	5065	1715
747	5071	1708
748	5078	1702
749	5086	1695
750	5096	1689
751	5104	1683
752	5110	1676
753	5117	1669
754	5126	1663
755	5133	1656
756	5139	1649
757	5146	1643
758	5152	1636
759	5159	1629
760	5165	1622
761	5172	1615
762	5179	1608
763	5186	1602
764	5193	1595
765	5200	1588
766	5206	1581
767	5213	1574
768	5221	1568
769	5227	1561
770	5235	1554
771	5241	1548
772	5248	1541
773	5255	1534
774	5263	1528
775	5270	1521
776	5277	1514
777	5285	1508
778	5291	1501
779	5298	1494
780	5305	1487
781	5312	1480
782	5319	1474
783	5325	1467
784	5331	1460
785	5337	1453
786	5344	1446
787	5350	1439
788	5356	1432
789	5363	1425
790	5370	1418
791	5376	1411
792	5382	1405
793	5388	1398
794	5395	1391
795	5401	1384
796	5408	1377
797	5414	1370
798	5421	1363
799	5428	1357
800	5435	1350
801	5441	1343
802	5447	1336
803	5453	1329
804	5459	1322
805	5465	1315
806	5471	1308
